"filename", "language", "C++", "Python", "Properties", "x86 and x86_64 Assembly", "log", "Markdown", "comment", "blank", "total"
"/home/fenn/Desktop/AlopexOS/src/drivers/nvme/nvme_command.hpp", "C++", 30, 0, 0, 0, 0, 0, 0, 5, 35
"/home/fenn/Desktop/AlopexOS/src/drivers/nvme/nvme_completion.hpp", "C++", 22, 0, 0, 0, 0, 0, 0, 5, 27
"/home/fenn/Desktop/AlopexOS/src/entry.s", "x86 and x86_64 Assembly", 0, 0, 0, 17, 0, 0, 0, 10, 27
"/home/fenn/Desktop/AlopexOS/src/gaossd/gaossd.cpp", "C++", 142, 0, 0, 0, 0, 0, 0, 30, 172
"/home/fenn/Desktop/AlopexOS/src/kernel/cxx_abi.cpp", "C++", 29, 0, 0, 0, 0, 0, 0, 9, 38
"/home/fenn/Desktop/AlopexOS/src/kernel/display.cpp", "C++", 166, 0, 0, 0, 0, 0, 0, 36, 202
"/home/fenn/Desktop/AlopexOS/src/kernel/limine_requests.cpp", "C++", 25, 0, 0, 0, 0, 0, 0, 4, 29
"/home/fenn/Desktop/AlopexOS/src/kernel/new.cpp", "C++", 130, 0, 0, 0, 0, 0, 1, 37, 168
"/home/fenn/Desktop/AlopexOS/src/main.cpp", "C++", 153, 0, 0, 0, 0, 0, 0, 26, 179
"Total", "-", 4121, 193, 4, 17, 66, 91, 54, 1084, 5630
